address,price,description,bedrooms,bathrooms,latitude,longitude,postcode,property_id
"Duke Street, London",25560,"Discover luxury living in this stunning three-bedroom Mayfair apartment, thoughtfully renovated while preserving its period charm. Soaring ceilings, elegant bay windows, ornate cornicing, and original fireplaces blend seamlessly with modern upgrades throughout the 2,400 sq. ft. space. The heart ...",3,3,51.5143461,-0.151418,W1U 3EA,e2d8d1b983f3ef5486ea8bb3d1f77ae8
"Barry Road, East Dulwich, London",2100,"A fantastic Two double bedroom flat with additional small study room in a converted Victorian House in East Dulwich, SE22.
Available to rent from mid April 2025.",2,1,51.4546845,-0.0692055,SE22,828c0eea7735b0d975d3b8665c1c55ec
Ashmore Road,2500,"Bright and airy apartment located on the top floor of this well kept building is located in the heart of Maida Vale and comprises of two double bedrooms, one with an en-suite shower room, bathroom, an open plan living room with a fully fitted kitchen. Ashmore Road is found moments from the excell...",2,2,51.5289122,-0.2025082,W9,c42ac65b5afd4f537d0e558a3f1d35fb
"Queen's Gate Place, London",3467,"A Bright & spacious one bedroom flat on the ground floor of a period building moments from Gloucester Road underground station and a short walk to Kensington Gardens and High Street Kensington. Comprising Large Reception room with high ceilings, and mezzanine, Bedroom ensuite bathroom, separate W...",1,1,51.4969605,-0.1803895,SW7 5PE,d19444362092585015e997daa706b033
"Coxwell Boulevard, London",2400,"This beautifully presented two-bedroom, second-floor apartment is set within a modern, purpose-built block in the highly desirable Barratt Homes development, located on the borders of Mill Hill and Colindale. Ideally positioned, the property is approximately one mile from both Mill Hill Broad...",2,2,51.6039783,-0.2421234,NW9 4AB,5c63bc66136f382e758f14661d8416ce
"Harrowdene Gardens, Teddington",1600,"Presented in excellent condition throughout, this one bedroom property boasts views across Bushy Park from the living room. The flat further benefits from a garage and easy access to Teddington Station.",1,1,51.4203312,-0.3253854,TW11 0DH,e0c1c85879f6deb4b3bf4fe26d2b99a7
"Ossel Court, Greenwich, Greenwich",2650,"A well-presented two-bedroom furnished apartment featuring spectacular direct river views and benefits from 24hrs Concierge, Gym, floor to ceiling windows with open plan living. The property offers a fully fitted kitchen with integrated appliances, a private balcony and two bathrooms one being a ...",2,2,51.4906867,0.004019,SE10,1aee44727814ba52ecbebae1a2c5ec98
"Fairfield Drive, Wandsworth",2600,Well proportioned three bedroom ground floor flat for sharers/families close to Wandsworth Town and with great connection/transport links.,3,1,51.4577795,-0.1893971,SW18,2e7e6920a0bba18b5e6debd246f2bc2b
Flat 10 16 - 18 Warwick Road,1495,"base rent: £1495, deposit: £1725, number of bedrooms: 0, size: 222 sq ft, apartment type: lower ground, , heating type: central, stove: induction, open plan kitchen, washer dryer, washing machine, number of bathrooms: 1, refurbished, wooden flooring, EPC…",0,1,-31.8346332,115.7607093,B11,528032675af90525ed63754259baadcf
Hawksbury Heights - P2043S78,3640,"The Property - P2043S78 We are pleased to present this stunning brand new fully furnished two bedroom, two bathroom apartment located on the second floor in the Park and Sayer development of Elephant & Castle. Available September 2025 Ideally located in Zone 1 Park & Sayer is at the centre of...",2,0,51.492929,-0.0967875,SE17 1JX,33f3d76b8c499fefd746a1dfcd2d3d11
"Victoria Road, London",1350,"The fully fitted modern kitchen and contemporary bathroom add to the appeal, providing both style and functionality. With a well-maintained interior, this home is move-in ready and designed for comfortable living.",1,1,51.4998724,-0.1858819,W8 5AE,7e926389ee137a2772eefa38beaff2de
"Eagle Point, City Road, London",2250,Studio apartment furnished to an exceptional standard in Eagle Point.,0,1,51.52815709999999,-0.0895212,EC1V,5fed30ac5633d8d6f688a7373dc47b1c
"Waverley Road, London",1250,"Offered available from 1st May 2025, this small one bedroomed ground floor unfurnished flat is ideally located for easy access to transport links by road, bus and train. Enfield Town with all it's amenities is within easy walking distance.",1,0,51.6040912,-0.0588751,EN2,eb60e0a9360fb44e1116c005c0e5b8f1
"Mazenod Avenue, West Hampstead",1842,"This bright and modern two bedroomed (1 x DOUBLE, 1 x SINGLE ) located on FIRST floor within this great residential locale. This fine red brick building was modernised throughout with 5 good flats. This fine flat comprises of:- Entrance hallway with storage/utility cupboard, bright open p...",2,1,51.5412658,-0.1942197,NW6,c21739a6352b2a11d7fbe637aff3bf72
"Windmill Lane, London",2250,"Property Reference Number: 100984. Nestled on the second floor of a modern complex in the heart of East London, this elegant apartment on Windmill Lane offers an exceptional living experience. Boasting two spacious bedrooms and two contemporary bathrooms, it's designed for comfort and style. The ...",2,2,51.545584,0.0021171,E15,7f256b34b2305e0c01d2df39c6509c58
"St Edmunds Terrace, St Johns Wood",13000,"An exceptional 4,000 sq ft residence located on one of St John’s Wood’s most exclusive roads, featuring its very own private swimming pool. Recently refurbished throughout, the apartment offers five generous double bedrooms, two expansive reception rooms, an impressive separate eat...",5,4,51.5364179,-0.1632798,NW8,9fc4b7965064b95034ca66e55bec5bbc
"Richmond Way, Shepherd`s Bush",1907,A brilliant two bedroom apartment situated on the lower ground floor of this smart Victorian Mansion block just a short walk from Shepherds Bush Underground Station (central line). Please email all enquiries.,2,1,51.5025862,-0.2174882,W12,cdae9e0af5a752d1b3afa5e6ab66bf00
"Richmond Way, Shepherds Bush",2102,A brand newly refurbished two double bedroom apartment situated on the second floor in this Victorian Mansion block just a short walk from Shepherds Bush Underground Station (central line). The furniture will be new and from Ikea. Please email all enquiries.,2,1,51.5025862,-0.2174882,W12,d37746d1b16afc3ead9def5d167d0372
"Rathbone Market, Barking Road, London",1772,"*ADVERTISED RENT INCLUDES £1,772 ANNUAL DISCOUNT - EXCLUSIVE MARCH OFFER* Short Term Lets Available - 6 Month or 9 Month Options*. Discover the allure of our bright 1-bedroom apartment, complete with an in-built wardrobe and complimentary Wi-Fi.",1,1,51.5162269,0.0102624,E16,2ee152c43a46581d0855a50f13ebb91d
"Mount View Road, London",1075,"A well presented studio flat located in a prime location within walking distance of the transport links of Crouch End, local restaurants and shopping facilities. The property benefits from a separate bathroom. Available Now !",0,0,51.5762413,-0.11434,N4,314007e1c673eef2302d20936ca144d0
"Belsize Avenue, London",3500,"A beautifully presented two bedroom apartment over the fourth floor of this well maintained purpose built block with lift, in the heart of Belsize Park. This generously proportioned property provides in excess of 900 sq ft comprising of a spacious entrance hall which leads to a bright 17' recept...",2,1,51.5499538,-0.1687063,NW3,26e583c118b2fa1acab6294779a45c50
"L-001015, Battersea Power Station, Circus Road East",6999,A highly unique and rarely available two bedroom duplex apartment of 1259 sq ft in Battersea Power Station.,2,2,51.48202029999999,-0.1444907,SW11 8DD,f7d45a000e4fafab1231c0a30f06cfd7
"Park View Mews, London",4500,"Stunning four bedroom, two bathroom town house measuring over 1,200 square foot in private gated development",4,2,51.457509,0.0052043,SE13,213516febef0941bbd7bc73a15a4d70c
Clapham Common North Side London,2400,"Elegant and spacious studio apartment with breathtaking views, set in a prestigious Clapham Common location.",0,1,51.4612592,-0.1519193,SW4,3aaf437922b5fb1078485c81fc80a11e
"Victoria Road, London",1650,"The property features two well-proportioned bedrooms with plenty of natural light, a bright open-plan living area, and a fully equipped contemporary kitchen. The modern bathroom adds to the overall appeal, ensuring a comfortable and stylish living experience. With a well-maintained interior.",2,1,51.4998724,-0.1858819,W8 5AE,ff11875ea012e7a8a1a2005439e64adb
Garett Mansions -,5700,"Luxurious Two-Bedroom, Two-Bathroom Apartment in the West End Gate Development Houseen Property are delighted to present this elegant two-bedroom, two-bathroom apartment located in the prestigious West End Gate development. Situated just moments from Paddington/Bayswater and only a short walk fr...",2,0,51.521304,-0.1722519,P2015,024cf79409a639d28a7d84c362a997cc
"Crossharbour Plaza, London",1750,Available 19th March | Studio Apartment | Fully Furnished | High Floor | South-Facing Private Balcony | 24hr Concierge | Resident's Cinema | Resident's Gym & Swimming Facilities | Short Walk from Canary Wharf and Crossharbour DLR Station,0,1,51.4974984,-0.0151176,E14,f10274444286140fe9425998965d2aba
"Agnes George Walk, London",1600,"Spacious one bedroom apartment in Waterside Gardens has just become available for rent, located in Royal Docks, E16.",1,1,51.502653,0.0353284,E16,51411a71faa95b5f58b82aff4c39402c
Victoria Rise London,3000,"A lovely three double bedroom, two bathroom split level purpose built flat offering a large private garden and an additional study room. Situated in the heart of Clapham Old Town.",3,2,51.4639405,-0.1481504,SW4,776b60557208f3b22befc0676477e1ab
"Everington Street, London",3950,"LDB are proud to present this fantastic four bedroom house to the market. The property features four double bedrooms, a separate living room, two bathrooms, eat-in kitchen and private rear garden. Located just minutes from shops, bars and cafes. This house is perfect for professional sharers ...",4,2,51.4843946,-0.2167468,W6 8DX,9a4447d9fab2c6344309f4b79d6456b5
"Rotherhithe Street, Rotherhithe, London",2400,"Offers over £2400 Stunning Two-Bedroom Penthouse with Breathtaking Views & Private Roof Terrace Welcome to Stanton House, SE16 – an exceptional two-bedroom penthouse apartment offering panoramic views of the River Thames and Canary Wharf. This beautifully redecorat...",2,2,51.5043933,-0.0457696,SE16,b4febc5a7746ffe1e250bd0ab960303e
"Trinity Close, London",1825,"CMC Estates are pleased to offer for rent this beautiful two bedroom third floor flat located within a minutes walk from Leytonstone Train Station and just a few minutes away from the bustling high street. It has two bedrooms, a modern open plan kitchen and reception room with access to a balcony",2,1,51.5634977,0.0080805,E11,fc79ec4fb67793c405ac76a47fc56fcd
Folgate Street London,3500,"*SHORT LET - BILLS INCLUDED*
A recently refurbished two bedroom apartment, set in this popular development, located within moments walk of Spitalfields Market and Liverpool Street Station. The apartment benefits from use of a small residents gym and 24 hour concierge.",2,1,51.5208814,-0.076898,E1,2ef222d612273ce9a85016454e5d9f86
"Lea Bridge Road, London",1200,Property Now Available To Rent On Lea Bridge Road.,0,1,51.5703214,-0.0252862,E10,39c8b56befc8676a04c6fe5ccba75a31
Purbeck Gardens London,2700,"We are delighted to offer this contemporary, part-furnished 3-bedroom apartment, ideally located next to Lower Sydenham Station. Situated on the 4th floor of a well-maintained development, this property offers the perfect balance of convenience and modern living.",3,2,51.423903,-0.0319646,SE26,0ee4ff8504b69b0fe928f0afe42e8bad
"St. Pauls Terrace, London",2000,Second floor 2 bed flat in private block 5 minutes' walk from Kennington and Oval tube stations and Park. Available early April.,2,1,51.485455,-0.1028439,SE17,3252a9ebb1eb76a77fd2b7845e9ad06a
"Park Road, Colliers Wood",1600,"Two double bedroom ground floor flat situated in a modern development and located within walking distance of Colliers Wood tube and High Street. Good condition throughout, unfurnished and available from 7th April 2025. EPC Rating: 'C' Merton Council Tax Band 'C' £1579.08 per annum.",2,1,51.4202513,-0.1749588,SW19 2HS,a5d61405e7997adc8b08e6ba152a46f5
High Street North,2400,"Portico are delighted to present this immaculate 4 bedroom flat, now available to let. This property is ideally suited for families, offering this newly decorated flat to a great standard.",4,1,51.5445349,0.0496642,E12,074c3c19605b2211dcb2b30a8cb6f5e2
"Silvertown Way, London",2748,"Located in Falconbrook Gardens, part of the Brunel Street Works development, this top-floor two-bedroom, two-bathroom apartment offers over 1,100 sq ft / 98 sq m of well-designed space. It's the closest privately owned building to Canning Town Station (Jubilee & DLR), just a 2-minute wal...",2,2,51.5090286,0.0134757,E16,9c593268ae163a910622cf8c1a2dd020
Felstead Street,1800,"Welcome to this truly immaculate apartment that is currently available to let. This property is in great condition, and it has been meticulously maintained to ensure it is the perfect home for you.",1,1,51.5443588,-0.0269751,E9,7aaf6a50c674158b1d96fcb95bea7035
"Villiers Street, EPCC",2600,"A large one bedroom apartment in this portered development between Theatre land and the River Thames! Finished to a high standard with wood floors, large kitchen and air conditioning.",1,1,51.5080806,-0.1237903,WC2N,ee6fe09deebe6ac75692121eb359f9c3
"Goldhurst Terrace, South Hampstead, London",2275,Available now. 2 double bedroom ground floor flat on Goldhurst Terrace with access to rear communal rear garden. Viewing via sole agent Rose & Co Estates,2,1,51.5455627,-0.1798697,NW6 3HX,f1f6c45300f0573c7a7fa2219f6166bc
Sterling Street,10833,"SHORT LET - ALL BILLS INCLUDED. Experience refined living in this elegant 4-bedroom residence, where each room is thoughtfully designed in a light, creamy hue, creating an atmosphere of spacious tranquillity. Among the bathrooms, one stands out with its sophisticated design, featuring luxurious m...",4,3,51.4999492,-0.1669548,SW7,2d13e1fc02d2a93c55cdb66036ce7a10
"Jacquard Point, Silk District",2400,"Luxury, high floor apartment situated in a highly sought after development in Whitechapel moments from Queen Mary University and within easy reach of Brick Lane, The City and Canary Wharf.",1,1,51.51864190000001,-0.05730489999999999,E1,67c2e88ef792dc85a9299195e5c5341c
"Westferry Road, London",2350,"This spacious apartment boasts two bedrooms, one of which is en-suite, and an additional modern family bathroom.",2,1,51.4984924,-0.0259151,E14,53f93dcc2696fbf515cef808c51174a1
"Stone Court, Stratford",1950,Portico are pleased to offer to let this spacious two bed modern apartment with two bathrooms situated in a private gated community known as Flint Close.,2,2,51.541295,0.0058709,E15,6e694ece0dcf1b4722cb65a8bc4e4e48
"Winterfold Close, LONDON",2350,"**Zero Deposit Available**
We are pleased to offer this top floor flat within close proximity to Southfields and Wimbledon.",3,1,51.4400938,-0.214949,SW19 6LF,eeb5d041cb97304986d4361673f745c4
Brixton Hill London,2200,A two-double bedroom split-level apartment located on Brixton Hill,2,2,51.4533061,-0.1205798,SW2,22990e24c5b371c11e37e920338b8441
"Cranmer Avenue, London",2100,"**NO DEPOSIT OPTION AVAILABLE FOR TENANTS, GREATER PROTECTION FOR LANDLORDS** Charming 2-bedroom cottage with a beautiful garden in a peaceful village setting. This cosy home boasts a spacious living area, modern kitchen, and a lovely outdoor space perfect for relaxing or entertaining. Convenient...",2,1,51.5001337,-0.3174895,W13,581e91e2de86ba2f6a58ae274493f095
"Charles Clowes Walk, Nine Elms",4333,"Absolute Living are delighted to offer the lettings market this stunning modern and luxurious fourth floor two bed, two bath apartment (770 Sq Ft, 71.53 Sq m) with a residents gym, media room and board room located in Thornes House forming part of the residence collection in Nine Elms on London's...",2,2,51.4813159,-0.1325874,SW11 7AD,01e9d6421dbf96ba1332cb57ca028977
"Penthouse, Merchant Square, Paddington",9960,"This four double bedroom apartment has spacious living and entertaining space with a beautiful reception room and a large balcony, offering breath-taking views over London. It also comprises of a striking modern open plan kitchen with breakfast bar, four spacious bedrooms, three luxurious bathroo...",4,3,51.5189256,-0.1730681,W2,cb5b3594a81f56448b7e16b44bdf95f8
"Ebb Court, 1 Albert Basin Way",2296,Modern two bedroom apartment in the Royal Albert Wharf development in E16.,2,2,51.5068967,0.07376629999999999,E16,abdb19f759657f029299822b85060643
"Elgin Avenue, Maida Vale",2097,"*VIDEO VIEWING AVAILABLE* *AVAILABLE IMMEDIATELY* With some enviable period features including fireplaces and high ceilings, this spacious one bedroom raised ground floor flat has both a large reception and bedroom and a kitchen leading to a small private terrace.",1,1,51.5282153,-0.1898103,W9 3PR,0bb1ae444ef660932c2f395f14678c2b
"Castellain Road, Maida Vale",3900,"This large three bedroom flat consists of wood flooring, separate kitchen, private balcony and two bathrooms. The property benefits from natural light and modern features.",3,2,51.5262988,-0.1878108,W9 1EY,6f4e93d5e90ec31fb3b8fb4910425bb1
"Sutherland Avenue,  London",1700,"**BRIGHT & MODERN** Fully furnished one bedroom flat in beautiful period property in Maida Vale, 5 mins to Warwick Avenue tube. Modern kitchen & bathroom with over-bath shower.",1,1,51.5253629,-0.1881437,W9,470332fa9e8b6ce0acd9ca5be59bb997
"South Ealing Road, Ealing",1200,"Ideal for a single person this one bedroom flat is situated in an excellent location just a stones throw from South Ealing tube station as well as the shops, restaurants and cafes of South Ealing Road. The property itself has an open kitchen and living area, a modern bathroom and double bedroom w...",1,1,51.4993791,-0.3061432,W5 4QT,bef6e5be87308b375f21666bf01b5537
"Fisher Close, London",1750,"A large contemporary ground floor one bedroom apartment, featuring a high level of specification, including the lovely designer kitchens and stylish bathrooms and is located is within 10 Minutes walk of Canada Water Station (Jubilee Line) and Rotherhithe Overland Station.",1,1,51.505114,-0.0423469,SE16,f10b3e4b2125c21082ecfe01521baaa0
"Lordship Lane, East Dulwich, London",1800,"Fantastic, recently refurbished first floor Victorian conversion on ever popular Lordship Lane.",1,1,51.4530646,-0.0772915,SE22,45a9c9d278b3ee5cf3b649bad69d31ad
"Belsize Road, South Hampstead",3500,Spacious and well-proportioned apartment - 3 double bedrooms with fitted wardrobes - 2 bathrooms (1 en-suite shower room) - Additional guest cloakroom - Wood floors throughout - Bright and airy reception room - Fitted kitchen with American-style fridge/freezer - Privat...,3,2,51.5405156,-0.1843922,NW6,cc722b3217a37d6fa6593e65b7e29367
"Lankaster Gardens, East Finchley, London",1900,"We are delighted to present to the market this fantastic 2 bedroom maisonette which has been newly refurbished throughout. Set in the lovely East Finchley area, with access to many local green areas and convenient access into Central London. This property also boasts access to a communal garden...",2,1,51.5999521,-0.1717909,N2,6915f99fdaf14039fd7afda074819971
"Fulham Road, Fulham",2200,"Refurbished third floor two bedroom mansion flat located within walking distance of Fulham Palace and Gardens, the River and transport links at Putney Bridge Station for the District Line.",2,1,51.480079,-0.194504,SW6,c90f59aa72d6659cdaf39473b8c7bf91
"Circus Road East, Vauxhall",6998,"This beautifully presented two-bedroom maisonette in Battersea features a spacious reception room, a high specification kitchen, three stylish modern bathrooms and private underground parking.",2,3,51.481656,-0.1429994,SW11 8DQ,8bf2a87f7a86232ddad04837da43bc1b
"Haines House, 10 Charles Clowes Walk, London",3000,"Available in May and offered fully furnished, this stunning high-floor two-bedroom luxury apartment is situated in the sought-after development, The Residence at Haines House, SW11. This exceptional apartment boasts an open-plan living, kitchen, and dining area, complemented by two spa...",2,1,51.481281,-0.1326213,SW11,823ed7f459e6f7bb87cc7541b924ee63
"Warrington Road, Richmond",1750,Perfect central Richmond location this one bedroom unfurnished apartment. tucked away in Warrington road. Good proportions with outside space. Less than a quarter of a mile from the train station. The bus station is only 100 yards away. Fully Refurbished and available immediately.,1,1,51.4592683,-0.3030575,TW10,459d21f47ed6081b1ef7de2b2044967d
"Canal View - Merchant Square, Paddington",7345,"A well appointed, south facing, three double bedroom apartment situated on the Seventh floor of this popular development within the Paddington Basin, overlooking the Grand Union Canal. The apartment has an open plan kitchen/ reception room with wooden floors, three double bedrooms and two bathroo...",3,2,51.5189256,-0.1730681,W2,66e87c444178ec4524df05acb52089c8
"Woodfield Road, Little Venice",2400,"Well presented spacious ground floor flat, set within a purpose built block and within close proximity to Westbourne Park Station (Circle and Hammersmith and City Line).",1,1,51.5229155,-0.2001625,W9,f0b2b1ed2f16837ce9c2c6e02f0deba7
"Mount View Road, Crouch End, London4JA",1100,"SPACIOUS STUDIO WHITE GOODS INCLUDED 3-PIECE BATHROOM SUITE CLOSE TO TRANSPORT LINKS This well-presented, spacious studio flat is ideally situated in a prime location, just a short walk from Crouch End's excellent transport links, popular restaurants, and shopping facilities. The proper...",0,1,51.5754744,-0.11667,N4,82c1da341ccc3cdd9ee426b52cdd41cb
"Central Street, London",3200,"A outstanding two double bedroom property located within the prestigious Worcester Point development. This delightful apartment has been finished to an impeccable standard and comprises; a bright reception room, high specification fitted open plan kitchen with integrated appliances, fully tiled b...",2,2,51.5270854,-0.096797,EC1V,e8089c9abc83ade6aaf5cadcd02a7c0a
"Hill Street, Mayfair",3207,"A bright and spacious, modern 1 bedroom apartment situated on the 6th floor and located on one of Mayfair's most prestigious roads is now available to rent. The apartment is set over 440 sq ft. and offers a large double bedroom, modern fitted bathroom, spacious reception room with fron...",1,1,51.5086937,-0.1484713,W1J,e0b7d32da23b60edd180b3ce766a55b3
Fairholme Road,3500,"Stunning, newly refurbished two bedroom flat for short let available on Fairholme Road. Open-plan, private balcony, stunning reception room and two bedrooms!",2,1,51.4882219,-0.2079667,W14,f5883d739c55b160bfd87f33b852b5b0
"Chartfield Avenue, London",2595,Modern 2 Bedroom. 2 Bathroom. Large Open Plan Reception Room. Fully Fitted Kitchen. Great Storage. Residents Gym. 24 Hour Concierge. Double Glazing. Central Putney Location.,2,2,51.4574983,-0.2261501,SW15,0f84a2116eb4a8969964355193eca8aa
"Holland Park, London",8996,"Elegant & Luxurious 3-Bedroom Apartment in Holland Park, W11 – Grade II-Listed Villa. Nestled on the ground floor of a beautifully redeveloped Grade II-listed villa, this exquisite apartment is bathed in natural light, accentuated by soaring historical ceilings. The residence benefits ...",3,3,51.5121945,-0.2086389,W11,200e67a2adbd4f1f9190d6d4a1aed693
"Three Colts Lane, Tower Hamlets, London",3150,"LONG LET. Set on the 2nd floor, this 2 bedroom flat boasts stylish accommodation including a large open-plan reception room, a modern kitchen and 2 lovely double bedrooms.",2,2,51.5244683,-0.0574809,E2,770658db431dfe6ff3ad95622bcd66d9
"Tulse Hill, Brixton",1450,A one bedroom flat situated in this bright period mansion block in Brixton. Offering a large reception room and separate kitchen. Ideal for a couple or single professional.,1,1,51.4496382,-0.1179015,SW2 2TH,c93a10d6716cc90266ca0fcc44b012b6
"Three Colts Lane, Bethnal Green, London",2750,"LONG LET. Set on the 3rd floor, this 1 bedroom flat boasts stylish accommodation including a large open-plan reception room, a modern kitchen and a lovely double bedroom with fitted storage.",1,1,51.5245575,-0.0561695,E2,a7c1dc6d2c131af48fdc6e68e06ac50e
"Three Colts Lane, Bethnal Green, London",4250,"LONG LET. This 3 bedroom apartment boasts stylish accommodation including a large open-plan reception room, a modern kitchen with space to dine and 3 lovely double bedrooms.",3,2,51.5245575,-0.0561695,E2,3d2e3e1cb6582f84cb288393868bf44b
"Clarendon Flats, Balderton Street",2578,"Utilities included - A well located, compact, one bedroom apartment situated within easy reach of Bond Street station.",1,1,51.51313829999999,-0.1522222,W1K,4b3e94a3d112adc8060ad885d5fdf47d
